Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,2
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,2
4,2,2,3,2,1.146953087845256,-0.9208688800590669,5
5,2,2,2,3,1.6890204267753643,-0.5839498143063115,2
5,2,2,4,1,1.4984383839320599,-0.45424735285240836,4
4,3,5,1,1,-0.2707319093499532,2.56442598120665,3
3,2,5,2,2,-0.13401662435126577,1.258377776462339,2
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,2
2,2,3,4,1,0.05824480077003563,-0.8801382516961054,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,2
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,5
2,2,2,4,1,0.1581094314066917,-1.659558242291529,3
5,1,2,2,5,2.36780305070416,-1.5530789532978675,5
4,3,4,2,1,0.3637322240648005,1.542249009396385,3
2,2,3,3,2,0.15353582219168788,-0.9449894824230571,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,4
4,2,3,4,1,0.9517974357869474,-0.07659765873669162,5
1,1,1,1,1,-2.373599188270105,-2.4663903008301036,3
3,3,3,4,4,2.975691115348445,-1.0472798759338091,3
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,2
3,1,2,1,2,-0.9500206596900991,-1.1910379292170594,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,4
1,1,4,2,1,-2.1385935774019753,-0.3708873102586744,1
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,3
4,1,2,4,2,1.1005541661526497,-1.5175385763818778,2
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,2
5,5,2,4,3,4.501214705743671,-0.007725631412087053,6
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,1
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,2
3,3,5,1,2,-0.08761770265865942,1.85504747278515,2
3,4,2,3,3,2.4920641434779576,-0.9224219582646284,5
3,2,4,4,2,1.0350470118415853,-0.006556176562768188,2
5,5,5,3,3,3.6670213110556054,2.5732913215890254,4
5,3,3,3,1,1.44497267498801,0.9218423340658264,2
4,2,4,3,2,0.9472238265719438,0.6379711011317803,2
4,2,5,4,2,1.3819586987133852,1.1746341105123623,3
3,3,3,2,2,0.6467110613927503,0.053450510379461,4
2,2,3,3,2,0.15353582219168788,-0.9449894824230571,3
1,1,1,1,1,-2.373599188270105,-2.4663903008301036,2
3,1,2,3,3,0.7490688700658459,-1.9841601035885363,4
1,1,3,1,2,-1.9434379253436669,-1.2151585315810496,1
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,2
1,2,3,1,1,-1.9923300250727127,-0.5536376045312871,2
1,1,4,2,2,-1.5087030532022254,-0.6784955222004678,2
3,2,2,3,2,0.7001767703368,-1.3226391765387737,3
4,2,4,2,2,0.41262432379384617,0.8807280823466221,3
3,3,2,2,2,0.7465756920294064,-0.7259694802159625,2
3,1,3,3,3,0.6492042394291898,-1.2047401129931128,3
4,2,3,1,1,-0.6520010725473451,0.6516732849078336,2
3,2,4,3,2,0.5004475090634878,0.23620080465207355,3
1,1,3,1,1,-2.5733284495434168,-0.9075503196392563,1
3,2,1,2,1,-0.3644486260043914,-1.551693973977562,3
3,2,3,1,2,-0.46888686585605127,-0.05770522351366665,2
1,2,4,2,2,-0.9277046287315216,-0.3245828070924986,2
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,3
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,2
1,1,3,1,1,-2.5733284495434168,-0.9075503196392563,2
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,2
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,3
