Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
1,1,2,1,2,-1.5461139464352098,-1.9149101844827106,0.24432324351858228,0.7815844720855808,3
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,-0.5556016484656804,-0.38269268360087144,3
5,2,2,1,1,-0.20566398419165235,0.2789373381039199,-2.5418388433823367,-0.7458641014463016,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,0.38226951639539725,-0.0278952512724101,2
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,-0.697896429858164,0.3075282860187751,3
4,4,3,4,2,3.221353595063564,0.2589880260206279,-0.6190353419585177,1.0572509174029656,3
2,2,5,2,1,-0.8941148933966399,1.0422618298314874,0.948098864356626,0.5988695728942243,2
4,1,4,1,1,-1.2666465798391486,0.8970345071000265,-0.5282333102349305,-1.2219232378411347,2
3,2,3,4,2,1.7649671551982724,-1.0187110810498086,0.5627395321905417,-0.11905344332992475,3
4,1,2,2,2,0.3134058325080884,-1.187052180621369,-0.78988611275638,-1.1761448842742137,2
2,1,3,2,1,-1.2895187376144355,-0.8535344462350559,0.11626820535827921,-0.10137565144383358,2
4,2,3,3,2,1.46642766164622,-0.33708063086866535,-0.22405676479515127,-0.5493800601075792,4
5,1,2,2,1,-0.04995010355052856,-0.5129844953465097,-1.8470322292948598,-1.799210654961636,3
4,4,5,2,2,1.7061176252228916,2.350637478648307,-0.08703271988428142,1.2042117177458125,3
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,1
4,4,3,4,4,4.7285556098764205,-0.3844031175078477,0.584754064488114,1.109354472209086,4
2,2,3,1,1,-1.4452326182555593,-0.061612612784626035,-0.5785384087291979,0.9519709020715006,2
4,4,2,4,4,4.797389029896893,-1.1009695071511656,-0.012792130219533362,1.2025614485443703,5
2,3,3,1,1,-0.9121619339968191,0.4010508839952816,-0.9418001391461457,1.8386300790801267,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,-0.10035023515051662,0.21432130968349078,2
2,4,3,2,1,0.3096933151617848,0.5344560441046673,-0.9735169858925643,2.5586018795820458,4
3,2,5,3,2,0.9385157502574639,0.7436800349073489,1.4262870379353072,-0.13878001949378554,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,0.38226951639539725,-0.0278952512724101,3
5,4,5,3,3,3.5387482688769953,2.0520556837241686,0.39115545369439975,0.466562125357803,4
4,2,2,2,2,0.8464765167668286,-0.724388683841461,-1.1531478431733277,-0.28948570726558714,2
4,1,2,3,2,1.0021903974079522,-1.516310517291891,-0.45834122908585084,-1.3428322607809213,3
1,1,3,2,2,-0.9261628015558182,-1.5276021315099149,1.173414321896759,0.5216901192435888,2
3,1,3,2,2,-0.14567265886019537,-0.8228579044886722,0.2629114952664312,-0.6723378673251356,2
4,2,4,1,2,0.020025111826020018,1.0380024321156964,-0.2896003374285623,-0.30921228342944795,3
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1.4350671244182087,0.4759117656766678,1
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,-0.24264501654300022,0.9045422793031372,3
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,-1.0337898220443618,0.35495690878713837,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,-0.21527667831224997,0.06531172506287418,2
4,2,3,3,1,0.7128266542397916,-0.015385059104427437,-0.8259514680184672,-0.5754318375106393,3
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,-0.19668842656440122,-1.3886106143478425,3
4,3,2,5,2,3.4459008957251602,-1.2495001970731194,-0.5217749225786882,0.09711134022291602,6
2,2,2,2,1,-0.6876146333352229,-1.1074373390984658,-0.8445397197663161,0.8784905019000772,2
5,1,5,1,1,-0.9452349285118093,1.9659730102539656,-0.38593852884244695,-1.9121442074607808,1
4,1,4,5,2,2.2420926871667355,-0.7416944113462992,1.3998409276705024,-1.8626209664649054,1
5,5,4,2,1,1.944665793443487,2.770802271059756,-2.1049867615473565,1.561012100402301,3
2,2,4,1,2,-0.7604650308696029,0.33325820509445375,0.6209024892017653,0.8848157031392764,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,-0.43624362733671435,0.2617499324518541,2
