Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
4,1,4,2,2,0.1757389924671438,0.24608059866526671,2
5,2,5,1,2,0.3414367631533593,2.1069409352696353,3
3,2,5,3,1,0.1849147428510354,1.0653756066715867,3
5,3,5,2,3,2.3168930197183917,1.918650523614783,3
4,2,3,3,3,2.2200286690526485,-0.6587762026329032,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,3
4,1,2,2,3,1.067006839914517,-1.5087477523856068,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,2
4,3,2,3,2,2.0683317659254326,-0.5909835237320754,3
2,2,5,1,1,-1.582899458296504,1.3715201665020096,1
5,4,4,2,2,2.1651961165911753,1.986443202515611,4
2,2,5,1,1,-1.582899458296504,1.3715201665020096,1
4,1,2,1,1,-1.128979739798204,-0.536098272186609,1
3,1,4,3,3,1.2278794934256245,-0.7572454232801143,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,2
3,3,1,2,2,1.0581355496982294,-1.3306636902154925,5
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,3
1,1,1,1,1,-2.230881533821166,-2.3097810023617904,1
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,2
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
3,3,3,2,2,0.9204687096572848,0.10246908907114305,4
4,1,5,3,1,0.042089129940106745,0.9550842234023003,3
3,2,5,2,1,-0.5038698220488285,1.3946339433421087,2
4,2,4,1,2,0.020025111826020018,1.0380024321156964,2
5,5,5,5,5,6.95659009774832,1.212811363634557,7
2,2,3,3,1,-0.06766348845583145,-0.72012928612567,3
3,2,5,2,2,0.24973118535760008,1.0729383715778706,2
2,2,1,2,1,-0.6187812133147507,-1.8240037287417834,2
3,2,4,2,1,-0.43503640202835614,0.678067553698791,3
3,2,3,3,2,1.0761825902984086,-0.6894527443792865,3
2,1,5,1,1,-2.115970142555244,0.9088566697221017,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,2
3,2,2,1,1,-0.9861541268872753,-0.42580688891732255,3
3,3,4,2,2,0.8516352896368125,0.8190354787144608,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
4,4,4,2,2,1.774951045243364,1.6340710890049894,3
4,2,4,1,1,-0.7335758955804085,1.3596980038799344,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,3
4,3,5,1,1,-0.2693386313421407,2.5389278903031594,2
5,5,5,5,5,6.95659009774832,1.212811363634557,5
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,2
3,3,4,2,2,0.8516352896368125,0.8190354787144608,3
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,3
1,1,5,2,2,-1.063829641596763,-0.09446935222327935,2
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,1
4,1,3,1,1,-1.1978131598186763,0.18046811745670885,3
2,1,5,2,1,-1.42718557765538,0.5795983330515797,2
