Sample No,Job_Retention_V13,Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,Job_Satisfaction_V44
127,,2.0,2.0,,4.0,1.0,3.0
128,1.0,5.0,1.0,2.0,2.0,5.0,5.0
129,1.0,,,,,,
130,4.0,4.0,3.0,4.0,2.0,1.0,3.0
131,4.0,,,,,,
132,4.0,,,,,,
133,2.0,,,,,,
134,4.0,2.0,2.0,3.0,3.0,2.0,3.0
135,1.0,3.0,2.0,2.0,2.0,2.0,4.0
136,,,,,,,
137,1.0,4.0,2.0,3.0,4.0,1.0,5.0
138,,,,,,,
139,3.0,,,1.0,1.0,1.0,3.0
140,1.0,3.0,3.0,3.0,4.0,4.0,3.0
141,4.0,3.0,2.0,3.0,1.0,1.0,2.0
142,4.0,,,,,,
143,,,,,,,
144,,,,,,,
145,3.0,3.0,1.0,2.0,1.0,2.0,3.0
146,4.0,2.0,2.0,2.0,2.0,2.0,4.0
147,4.0,1.0,1.0,4.0,2.0,1.0,1.0
148,4.0,4.0,2.0,3.0,2.0,1.0,3.0
149,3.0,4.0,1.0,2.0,4.0,2.0,2.0
150,2.0,,,,,,
151,3.0,,,,,,
152,3.0,2.0,1.0,3.0,1.0,1.0,2.0
153,3.0,,,,,,
154,,,,,,,
155,2.0,5.0,5.0,2.0,4.0,3.0,6.0
156,1.0,3.0,1.0,5.0,1.0,1.0,1.0
157,4.0,3.0,1.0,4.0,2.0,1.0,2.0
158,4.0,3.0,3.0,5.0,1.0,2.0,2.0
159,4.0,,,,,,
160,1.0,,4.0,2.0,3.0,,5.0
161,4.0,3.0,2.0,4.0,4.0,2.0,2.0
162,1.0,5.0,5.0,5.0,3.0,3.0,4.0
163,,5.0,3.0,,3.0,1.0,2.0
164,4.0,,,,,,
165,,4.0,2.0,4.0,3.0,2.0,2.0
166,,4.0,2.0,5.0,4.0,2.0,3.0
167,2.0,3.0,3.0,3.0,2.0,2.0,4.0
168,3.0,2.0,2.0,3.0,3.0,2.0,3.0
169,3.0,,,,,,
170,4.0,1.0,1.0,1.0,1.0,1.0,2.0
171,1.0,3.0,1.0,2.0,3.0,3.0,4.0
172,,,,,,,
173,1.0,1.0,1.0,3.0,1.0,2.0,1.0
174,,,,,,,
175,4.0,3.0,1.0,3.0,2.0,1.0,2.0
176,,,,,,,
177,1.0,1.0,2.0,3.0,1.0,1.0,2.0
178,1.0,1.0,1.0,4.0,2.0,2.0,2.0
179,3.0,3.0,2.0,2.0,3.0,2.0,3.0
180,4.0,4.0,2.0,4.0,2.0,2.0,3.0
181,1.0,3.0,3.0,,,,2.0
182,3.0,3.0,1.0,3.0,3.0,3.0,3.0
183,3.0,4.0,2.0,3.0,1.0,1.0,2.0
184,,3.0,2.0,4.0,3.0,2.0,3.0
185,4.0,1.0,1.0,3.0,,,1.0
186,1.0,3.0,2.0,1.0,2.0,1.0,3.0
187,1.0,3.0,2.0,3.0,1.0,2.0,2.0
188,3.0,1.0,2.0,4.0,2.0,2.0,2.0
189,4.0,3.0,2.0,4.0,2.0,2.0,3.0
190,2.0,3.0,2.0,4.0,2.0,2.0,3.0
191,4.0,3.0,1.0,5.0,1.0,1.0,2.0
192,4.0,1.0,1.0,3.0,1.0,1.0,2.0
193,3.0,2.0,2.0,4.0,2.0,2.0,2.0
194,4.0,3.0,2.0,3.0,2.0,1.0,3.0
195,,,,,,,
196,4.0,3.0,2.0,4.0,3.0,3.0,3.0
197,1.0,3.0,3.0,3.0,5.0,1.0,5.0
198,2.0,3.0,1.0,4.0,1.0,2.0,1.0
199,1.0,5.0,3.0,3.0,3.0,3.0,4.0
200,4.0,2.0,2.0,4.0,2.0,2.0,3.0
201,4.0,,,,,,
202,1.0,,,,,,
203,1.0,3.0,2.0,2.0,2.0,2.0,3.0
204,1.0,3.0,2.0,4.0,2.0,1.0,2.0
205,2.0,,,,,,
206,4.0,2.0,1.0,2.0,2.0,2.0,2.0
207,4.0,3.0,2.0,5.0,2.0,1.0,2.0
208,2.0,,,,,,
209,4.0,,,,,,
210,,,,,,,
211,2.0,,,,,,
212,4.0,3.0,1.0,5.0,1.0,1.0,2.0
213,,,,,,,
214,4.0,,,,,,
215,3.0,4.0,1.0,5.0,1.0,1.0,2.0
216,1.0,,,,,,
217,3.0,4.0,1.0,2.0,4.0,2.0,4.0
218,3.0,3.0,2.0,4.0,1.0,1.0,2.0
219,4.0,2.0,1.0,2.0,2.0,2.0,3.0
220,3.0,3.0,2.0,4.0,2.0,1.0,3.0
221,3.0,4.0,2.0,3.0,2.0,1.0,3.0
222,3.0,,,,,,
223,3.0,4.0,2.0,5.0,3.0,,7.0
224,,,,,,,
225,,,,,,,
226,4.0,,,,,,
227,,,,,,,
228,4.0,,,,,,
229,1.0,2.0,1.0,3.0,1.0,1.0,2.0
230,3.0,2.0,2.0,4.0,1.0,1.0,2.0
231,4.0,,,,,,
232,4.0,,,,,,
233,2.0,4.0,4.0,2.0,4.0,4.0,6.0
234,4.0,3.0,2.0,4.0,5.0,4.0,3.0
235,4.0,,,,,,
236,,2.0,1.0,3.0,2.0,2.0,2.0
237,4.0,3.0,3.0,2.0,2.0,1.0,3.0
238,2.0,5.0,3.0,5.0,1.0,1.0,4.0
239,3.0,4.0,2.0,3.0,3.0,3.0,3.0
240,,,,,,,
241,1.0,5.0,,3.0,3.0,2.0,3.0
242,2.0,5.0,3.0,2.0,2.0,2.0,4.0
243,4.0,,,,,,
244,,2.0,2.0,4.0,2.0,1.0,2.0
245,4.0,3.0,2.0,3.0,2.0,2.0,3.0
246,2.0,,,,,,
247,3.0,3.0,3.0,2.0,4.0,2.0,4.0
248,,3.0,2.0,4.0,1.0,1.0,2.0
249,3.0,3.0,2.0,3.0,3.0,3.0,2.0
250,1.0,2.0,2.0,2.0,2.0,1.0,2.0
251,4.0,3.0,2.0,3.0,2.0,2.0,3.0
252,4.0,,,,,,
253,2.0,,,,,,
254,4.0,3.0,2.0,4.0,2.0,2.0,3.0
255,4.0,4.0,1.0,3.0,2.0,2.0,3.0
256,1.0,3.0,2.0,3.0,3.0,1.0,5.0
257,1.0,,,,,,
258,4.0,,,,,,
259,3.0,4.0,2.0,4.0,3.0,3.0,3.0
260,4.0,,,,,,
261,2.0,,,,,,
262,,,,,,,
263,1.0,3.0,3.0,4.0,3.0,1.0,2.0
264,3.0,,,,,,
265,1.0,2.0,2.0,5.0,2.0,2.0,2.0
266,3.0,2.0,1.0,3.0,3.0,1.0,4.0
267,,,,,,,
268,4.0,4.0,4.0,1.0,3.0,2.0,5.0
269,3.0,3.0,3.0,1.0,3.0,3.0,4.0
270,3.0,3.0,2.0,3.0,2.0,2.0,3.0
271,4.0,,,,,,
272,1.0,3.0,3.0,3.0,2.0,2.0,4.0
273,3.0,3.0,2.0,4.0,2.0,2.0,2.0
274,2.0,,,,,,
275,4.0,3.0,2.0,4.0,4.0,2.0,3.0
276,1.0,2.0,2.0,2.0,5.0,4.0,4.0
277,4.0,5.0,3.0,4.0,3.0,2.0,5.0
278,,,,,,,
279,3.0,2.0,1.0,2.0,1.0,2.0,2.0
280,3.0,3.0,2.0,5.0,2.0,1.0,2.0
281,,2.0,1.0,4.0,1.0,1.0,2.0
282,4.0,5.0,5.0,5.0,5.0,2.0,5.0
283,2.0,3.0,4.0,4.0,3.0,2.0,5.0
284,2.0,4.0,1.0,4.0,,,2.0
285,3.0,3.0,4.0,,,,
286,1.0,4.0,2.0,3.0,4.0,2.0,3.0
287,1.0,,,,,,
288,1.0,,,,,,
289,,3.0,1.0,3.0,1.0,1.0,1.0
290,,3.0,3.0,4.0,,1.0,3.0
291,3.0,,,,,,
292,4.0,2.0,1.0,3.0,1.0,1.0,1.0
293,1.0,,,2.0,3.0,3.0,4.0
294,4.0,2.0,2.0,2.0,4.0,2.0,4.0
295,,2.0,2.0,4.0,2.0,2.0,2.0
296,1.0,2.0,1.0,1.0,5.0,2.0,2.0
