Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,-0.7555387703242927,-0.49434227593259095,2
1,1,2,3,2,-0.7743742891508157,-2.4800924846061565,0.8586952874457962,0.10237227497174776,4
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,0.526918161002259,0.5849726550726688,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,2
2,2,5,1,2,-1.1153924446378194,1.0993644611974738,1.4690924447596685,0.5358468451678586,1
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,-0.7492400518607041,0.8576739859367718,2
4,1,4,2,1,-0.7982646248766074,0.8344235791804463,-0.5900586705741024,-1.4062394663878413,2
2,1,3,4,2,0.10713690049908159,-1.541659178745868,1.0241753871959862,-0.8095249154835025,2
2,2,3,1,1,-1.545553707564257,-0.15186730805158016,-0.36178241553293755,0.9524083933771241,2
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,2
5,2,3,2,2,0.9592652719389584,0.5030783882309053,-1.1425685153417295,-1.0033543899010506,2
2,1,2,2,1,-1.492087998620207,-1.5279569949698146,-0.5865008478707298,-0.05963433504837009,1
4,2,3,2,2,0.5124889544305022,0.10130809175119854,-0.5860729565603998,-0.4739120415764776,3
2,2,5,1,2,-1.1153924446378194,1.0993644611974738,1.4690924447596685,0.5358468451678586,1
5,1,5,1,1,-0.9859524407829051,2.258370847470418,-0.7590965930276652,-1.8409474072720624,1
3,1,5,2,2,-0.7150150488219695,0.9044650613543694,1.24259510107019,-1.1494984489273714,2
3,2,4,1,1,-1.198642020692457,1.0293229790235505,-0.3635613268846239,0.27910582770738845,2
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,-0.031784200441086756,-0.2034945523935325,1
1,1,3,5,1,-0.4349304384310267,-1.8785782444986234,1.026488391645872,-0.38983607842550344,2
3,3,2,2,1,0.11668516782965661,-0.4183612682741691,-1.468474814632008,1.2455399585973408,3
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,-0.918277974314267,0.4229660450525509,2
4,3,3,3,3,2.2579774058790534,-0.0951443862974672,0.1398884159848223,0.07596054110420926,5
1,1,5,2,2,-1.6085676838388816,0.10092446839495578,2.3555862186328493,-0.0906137522782249,1
2,1,4,2,1,-1.691817259893519,0.03088298622103243,0.5229324469885563,-0.347354769738695,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,0.19293423189670555,0.8085481760319616,1
1,1,3,2,2,-1.4088384225655695,-1.4579155127958914,1.2461529237735625,0.1971066824121,3
2,1,4,2,1,-1.691817259893519,0.03088298622103243,0.5229324469885563,-0.347354769738695,1
4,2,4,2,2,0.41262432379384617,0.8807280823466221,-0.03135630913075669,-0.61777225892164,2
2,1,4,3,2,-0.5273272329156719,-0.5194822069356028,1.4116330235237529,-0.7147905080431503,2
3,2,4,1,1,-1.198642020692457,1.0293229790235505,-0.3635613268846239,0.27910582770738845,2
2,1,4,2,1,-1.691817259893519,0.03088298622103243,0.5229324469885563,-0.347354769738695,3
5,2,2,5,1,2.033037886710157,-0.69700433406725,-1.916949694899063,-1.4464369333934917,5
4,2,2,2,2,0.6123535850671583,-0.6781118988442251,-1.140789603990043,-0.3300518242313151,5
3,2,4,1,1,-1.198642020692457,1.0293229790235505,-0.3635613268846239,0.27910582770738845,2
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,-0.19630231578274743,0.04051120292187378,3
3,1,3,2,2,-0.5152857875486574,-0.6543749198364778,0.13316180621090384,-0.8617780142370463,2
2,1,4,1,1,-2.226416762671617,0.2736399674358742,0.35567343588667993,-0.10876014495318032,2
5,3,2,5,4,4.503707883780111,-1.2659162547846607,0.08463579741092296,-0.9156519529651714,7
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,-0.918277974314267,0.4229660450525509,3
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,-0.19904321154296328,0.03510007239198216,2
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,-0.03356311179277304,-0.8767971180632681,3
4,3,5,2,2,0.8937581176278943,2.014060788050015,0.36062113430891196,0.15567584471833962,3
5,3,2,2,1,1.0102378028465688,0.38517932468524463,-2.5814659321946665,0.18665526194819448,4
3,2,4,4,1,0.4051564876418355,0.3010520353790252,0.13821570642100567,-0.43667804664915555,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,-0.19630231578274743,0.04051120292187378,2
4,4,5,4,4,3.803736596054293,1.2672431168447145,1.9752830833893307,0.338112689094571,1
3,3,4,3,1,0.451555409334442,0.8977217317018363,-0.19178250867084523,0.7192248991215012,3
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,0.526918161002259,0.5849726550726688,2
1,1,3,2,1,-2.0387289467653193,-1.150307300854098,0.5247113583402425,0.32594779593104056,2
4,3,2,3,2,1.72795151231596,-0.5669561649510975,-1.1362697968781408,0.3486618719683122,5
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,2
4,2,2,2,2,0.6123535850671583,-0.6781118988442251,-1.140789603990043,-0.3300518242313151,3
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,-0.029577397779070463,0.05553030674809565,1
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,-0.918277974314267,0.4229660450525509,2
4,1,4,1,1,-1.3328641276547049,1.077180560395288,-0.7573176816759789,-1.1676448416023266,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,0.13494071756259024,-0.1884754485673107,2
3,2,2,2,2,0.16557726755870242,-1.079882195323932,-0.5842940452087135,0.19939052409325808,3
1,1,4,1,1,-2.6731930801800727,-0.12813032904383265,0.9121689946680092,0.42068220337139284,1
3,3,2,3,3,1.9110657190072537,-1.2763346733725975,0.1416673273365087,0.7492631067739449,5
5,2,5,2,2,0.7595360106656462,2.0619183694217527,-0.03313522048244314,-1.2910748245913757,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,-0.027798486427384066,0.7288328724178312,3
4,4,3,3,2,2.2090853061500075,0.5663765407522955,-0.7442923534384721,1.122109975608292,4
3,3,5,4,1,0.8862902814758833,1.434384741082418,0.5301931498606745,0.3367700569908241,3
4,2,5,2,2,0.3127596931571901,1.660148072942046,0.5233603382988864,-0.7616324762668024,1
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,0.526918161002259,0.5849726550726688,4
1,1,4,2,1,-2.1385935774019753,-0.3708873102586744,1.0794280057698857,0.18208757858587818,2
3,1,3,2,2,-0.5152857875486574,-0.6543749198364778,0.13316180621090384,-0.8617780142370463,2
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,-0.5882797592224162,-0.7329369007181057,2
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,-0.027798486427384066,0.7288328724178312,3
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,0.35389452453499354,-0.782062710622916,2
4,3,5,2,2,0.8937581176278943,2.014060788050015,0.36062113430891196,0.15567584471833962,4
2,1,5,3,2,-0.627191863552328,0.2599377836598209,1.9663496709533959,-0.8586507253883127,2
3,1,4,1,1,-1.7796404451631607,0.675410263915581,-0.20082212289464957,-0.6382024932777534,2
3,2,3,3,2,0.6003121397001439,-0.5432191859433502,0.13768161332280604,-0.18306431803741902,2
3,2,3,3,3,1.2302026638998937,-0.8508273978851435,0.8591231787561261,-0.31190543155635964,4
4,1,3,1,2,-0.6031089728182991,-0.009847642141929052,-0.5905927636723021,-1.1526257377761049,4
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,-0.7510189632123905,0.18437142026703626,2
2,3,2,2,1,-0.33009114967879943,-0.820131564753876,-0.9119792558506785,1.774982306921914,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,-0.027798486427384066,0.7288328724178312,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,-0.027798486427384066,0.7288328724178312,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,-0.5842940452087135,0.19939052409325808,3
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,-0.031784200441086756,-0.2034945523935325,2
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,-0.031784200441086756,-0.2034945523935325,2
4,2,2,3,2,1.146953087845256,-0.9208688800590669,-0.9735305928881662,-0.5686464490168297,5
5,2,2,2,3,1.6890204267753643,-0.5839498143063115,-0.9758435973380525,-0.9883352860748288,2
5,2,2,4,1,1.4984383839320599,-0.45424735285240836,-2.0842087060009393,-1.2078423086079768,4
4,3,5,1,1,-0.2707319093499532,2.56442598120665,-0.5280794422262847,0.5231115830227949,3
3,2,5,2,2,-0.13401662435126577,1.258377776462339,1.0798558970802157,-0.2321901279422293,2
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,-0.7555387703242927,-0.49434227593259095,2
2,2,3,4,1,0.05824480077003563,-0.8801382516961054,0.13999461777269195,0.23662451902058007,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,0.19293423189670555,0.8085481760319616,2
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,-0.7492400518607041,0.8576739859367718,5
2,2,2,4,1,0.1581094314066917,-1.659558242291529,-0.41472202965695104,0.3804847363657425,3
5,1,2,2,5,2.36780305070416,-1.5530789532978675,0.6297787375185621,-2.163325834097852,5
4,3,4,2,1,0.3637322240648005,1.542249009396385,-0.9155370785540512,0.42837717558244265,3
2,2,3,3,2,0.15353582219168788,-0.9449894824230571,0.6941771721041355,0.3463780302871541,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,-0.5842940452087135,0.19939052409325808,4
4,2,3,4,1,0.9517974357869474,-0.07659765873669162,-0.9729964997899668,-0.8222601776285663,5
1,1,1,1,1,-2.373599188270105,-2.4663903008301036,-0.7519809476209199,0.8522628554068802,3
3,3,3,4,4,2.975691115348445,-1.0472798759338091,1.5850845513013483,0.2379671511243272,3
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,-0.918277974314267,0.4229660450525509,2
3,1,2,1,2,-0.9500206596900991,-1.1910379292170594,-0.5888138523206157,-0.4793231721063692,3
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,-0.027798486427384066,0.7288328724178312,4
1,1,4,2,1,-2.1385935774019753,-0.3708873102586744,1.0794280057698857,0.18208757858587818,1
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,-1.3075145219937199,-0.345070928057537,3
4,1,2,4,2,1.1005541661526497,-1.5175385763818778,-0.6435323777963156,-1.7245493947874864,2
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,-0.19904321154296328,0.03510007239198216,2
5,5,2,4,3,4.501214705743671,-0.007725631412087053,-1.1295431871042223,1.286400427309568,6
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,0.35389452453499354,-0.782062710622916,1
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,-0.03356311179277304,-0.8767971180632681,2
3,3,5,1,2,-0.08761770265865942,1.85504747278515,0.7498576819883649,0.9237128178284276,2
3,4,2,3,3,2.4920641434779576,-0.9224219582646284,-0.02107187665346575,1.666571427759087,5
3,2,4,4,2,1.0350470118415853,-0.006556176562768188,0.8596572718543257,-0.5655191601680961,2
5,5,5,3,3,3.6670213110556054,2.5732913215890254,0.3673477440828306,1.0934144000595951,4
5,3,3,3,1,1.44497267498801,0.9218423340658264,-1.8594902736631471,-0.19579958018248264,2
4,2,4,3,2,0.9472238265719438,0.6379711011317803,0.1359027019711198,-0.8563668837071546,2
4,2,5,4,2,1.3819586987133852,1.1746341105123623,0.8578783605026394,-1.2388217258378318,3
3,3,3,2,2,0.6467110613927503,0.053450510379461,-0.19231660176904483,0.9728386277332378,4
2,2,3,3,2,0.15353582219168788,-0.9449894824230571,0.6941771721041355,0.3463780302871541,3
1,1,1,1,1,-2.373599188270105,-2.4663903008301036,-0.7519809476209199,0.8522628554068802,2
3,1,2,3,3,0.7490688700658459,-1.9841601035885363,0.4671457353164573,-1.085353535196339,4
1,1,3,1,2,-1.9434379253436669,-1.2151585315810496,1.078893912671686,0.4357013071976147,1
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,-0.5882797592224162,-0.7329369007181057,2
1,2,3,1,1,-1.9923300250727127,-0.5536376045312871,0.19471314324839173,1.4818507417016973,2
1,1,4,2,2,-1.5087030532022254,-0.6784955222004678,1.8008695712032057,0.05324646506693755,2
3,2,2,3,2,0.7001767703368,-1.3226391765387737,-0.41703503410683695,-0.0392041006922566,3
4,2,4,2,2,0.41262432379384617,0.8807280823466221,-0.03135630913075669,-0.61777225892164,3
3,3,2,2,2,0.7465756920294064,-0.7259694802159625,-0.7470332491986879,1.1166988450784001,2
3,1,3,3,3,0.6492042394291898,-1.2047401129931128,1.0218623827461002,-1.2292137525415014,3
4,2,3,1,1,-0.6520010725473451,0.6516732849078336,-1.4747735330955964,-0.10647630327202229,2
3,2,4,3,2,0.5004475090634878,0.23620080465207355,0.6923982607524491,-0.32692453538258154,3
1,1,3,1,1,-2.5733284495434168,-0.9075503196392563,0.3574523472383661,0.5645424207165552,1
3,2,1,2,1,-0.3644486260043914,-1.551693973977562,-1.8604522580716765,0.4720918549573611,3
3,2,3,1,2,-0.46888686585605127,-0.05770522351366665,-0.19683640888094703,0.2941249315336103,2
1,2,4,2,2,-0.9277046287315216,-0.3245828070924986,1.6381303672132312,0.9705547860520797,2
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,3
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,0.35389452453499354,-0.782062710622916,2
1,1,3,1,1,-2.5733284495434168,-0.9075503196392563,0.3574523472383661,0.5645424207165552,2
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,1.081634808431902,0.44111243772750625,2
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,-0.7510189632123905,0.18437142026703626,3
3,2,4,3,3,1.1303380332632378,-0.0714074072897198,1.413839826185769,-0.4557656489015221,3
3,3,3,5,1,1.6206190455272933,-0.3672122213232709,-0.41198113389673524,0.3858958668956344,5
3,1,4,1,2,-1.149749920963411,0.36780205197378774,0.5206194425386705,-0.7670436067966939,1
5,3,3,3,3,2.7047537233875096,0.30662591018223967,-0.41660714279650707,-0.45348180722036385,4
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,1.081634808431902,0.44111243772750625,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,-0.5842940452087135,0.19939052409325808,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,-0.19630231578274743,0.04051120292187378,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,0.13494071756259024,-0.1884754485673107,2
3,2,5,2,1,-0.7639071485510156,1.5659859884041323,0.3584143316468957,-0.1033490144232887,2
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,0.35389452453499354,-0.782062710622916,2
4,1,5,1,1,-1.432728758291361,1.8566005509907115,-0.20260103424633596,-1.3115050589474893,2
4,1,2,4,2,1.1005541661526497,-1.5175385763818778,-0.6435323777963156,-1.7245493947874864,4
3,2,4,1,1,-1.198642020692457,1.0293229790235505,-0.3635613268846239,0.27910582770738845,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,0.13494071756259024,-0.1884754485673107,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,-0.19630231578274743,0.04051120292187378,3
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,-1.3075145219937199,-0.345070928057537,3
4,2,5,3,4,2.1071402443347873,0.8021746678436172,2.1335024802674027,-1.2579093280901983,7
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,-0.19904321154296328,0.03510007239198216,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,0.19293423189670555,0.8085481760319616,2
4,4,2,4,4,4.103330487964261,-1.0710168549415564,0.3111331411004016,0.7696933411300586,6
3,2,4,5,4,2.8294275630191827,-0.8645295816611968,2.4697994138228423,-1.0617960119914922,3
2,1,3,2,2,-0.9620621050571134,-1.0561452163161844,0.6896573649922333,-0.33233566591247315,2
3,3,2,2,1,0.11668516782965661,-0.4183612682741691,-1.468474814632008,1.2455399585973408,3
5,3,5,1,1,0.1760444081585027,2.966196277686357,-1.084575001007614,-0.006330765301778222,4
4,2,3,3,3,1.6769789814083498,-0.44905710140543653,0.30262761997479676,-0.8413477798809329,3
5,3,3,3,2,2.0748631991877597,0.6142341221240329,-1.1380487082298272,-0.3246406937014233,3
5,3,2,2,2,1.6401283270463185,0.07757111274345121,-1.8600243667613465,0.05781414842925386,4
2,2,4,2,1,-1.1108188354228155,0.38479570132900176,0.3601932429985821,0.5699535512464469,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,-0.029577397779070463,0.05553030674809565,3
3,3,2,4,2,1.8157746975856015,-1.211483442645646,-0.4125152269949348,0.6395095955073709,4
3,2,4,1,1,-1.198642020692457,1.0293229790235505,-0.3635613268846239,0.27910582770738845,2
3,2,3,3,3,1.2302026638998937,-0.8508273978851435,0.8591231787561261,-0.31190543155635964,2
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,-0.7492400518607041,0.8576739859367718,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,-0.029577397779070463,0.05553030674809565,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,3
4,1,3,2,2,-0.06850947004020153,-0.25260462335677075,-0.4233337525704256,-1.3912203625616195,3
3,2,3,3,1,-0.029578384499605922,-0.23561097400155678,-0.583759952110514,-0.05422320451847842,5
4,2,4,3,3,1.5771143507716936,0.3303628891899871,0.8573442674044398,-0.9852079972260953,3
3,3,4,3,1,0.451555409334442,0.8977217317018363,-0.19178250867084523,0.7192248991215012,2
2,2,5,2,2,-0.5807929418597217,0.8566074799826319,1.636351455861545,0.29725222038234383,2
2,1,3,3,1,-1.0573531264787657,-0.9912939855892329,0.1354748106607898,-0.44208917717904717,4
4,4,1,3,2,2.40881456742332,-0.9924634404385515,-1.8537256482977582,1.4098304102986168,5
3,3,1,3,3,2.01093034964391,-2.0557546639680213,-0.4130493200931343,0.8931233241191073,4
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,-0.029577397779070463,0.05553030674809565,3
3,3,3,2,2,0.6467110613927503,0.053450510379461,-0.19231660176904483,0.9728386277332378,4
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,0.5251392496505727,-0.08832991059706682,2
3,2,4,4,2,1.0350470118415853,-0.006556176562768188,0.8596572718543257,-0.5655191601680961,3
2,2,2,5,4,2.582380506784039,-2.825139859331751,1.9168616777448855,-0.24463322897659404,4
5,3,4,3,2,1.9749985685511038,1.3936541127194568,-0.5833320608001838,-0.46850091104658576,5
2,1,2,1,2,-1.396796977198555,-1.5928082256967662,-0.03231829353928629,0.05011917621820399,2
3,2,5,2,1,-0.7639071485510156,1.5659859884041323,0.3584143316468957,-0.1033490144232887,2
2,1,4,1,1,-2.226416762671617,0.2736399674358742,0.35567343588667993,-0.10876014495318032,2
5,5,5,5,2,4.10632979241205,2.3953855711011354,-0.01957579914673639,0.7450662640075063,5
3,4,4,3,2,1.6624443580048955,0.9440262348680123,0.36691985277250055,1.5076921065877027,5
4,1,4,2,2,-0.1683741006768576,0.5268153672386529,0.13138289485921756,-1.535080579906782,2
3,4,3,3,3,2.392199512841301,-0.14300196766920475,0.5336447707761773,1.5227112104139247,3
4,2,3,4,2,1.5816879599866973,-0.38420587067848494,-0.2515549343566468,-0.9511012911475069,3
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,-0.7555387703242927,-0.49434227593259095,1
3,3,4,3,1,0.451555409334442,0.8977217317018363,-0.19178250867084523,0.7192248991215012,3
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,-0.19904321154296328,0.03510007239198216,1
